lat,lon,dist_km
40.49,-74.3,0.0
40.5,-74.3,14.817275359502363
40.5,-74.2,10.990288002880355
40.51,-74.3,6.513357200685817
40.51,-74.2,7.902675695217821
40.51,-73.9,0.0
40.52,-74.3,0.0
40.52,-74.2,6.0397207141888245
40.52,-74.1,22.73259039662393
40.53,-74.2,9.973377862289304
40.54,-74.3,0.0
40.54,-74.2,7.060478507285307
40.54,-74.1,9.35340642293293
40.55,-74.2,6.082229369523284
40.55,-74.1,7.965292547774943
40.55,-73.9,16.415741419672553
40.55,-73.5,0.0
40.56,-74.2,9.76273492430875
40.56,-74.1,6.79071470294665
40.56,-74.0,1.4806080776079655
40.56,-73.9,9.957563279188475
40.57,-74.2,6.655651711533785
40.57,-74.1,5.549450629556039
40.57,-74.0,6.819966777519105
40.57,-73.9,5.831085117452605
40.57,-73.8,61.83342587745534
40.58,-74.2,7.640441995904589
40.58,-74.1,18.810868104027026
40.58,-74.0,5.707538333236087
40.58,-73.9,12.064246922896332
40.58,-73.8,4.760281292223919
40.58,-73.7,4.451474608501031
40.58,-73.6,2.6008665760291345
40.59,-74.2,7.226875752405879
40.59,-74.1,5.1188445452166444
40.59,-74.0,6.497160681616328
40.59,-73.9,7.211598292298194
40.59,-73.8,5.995602270221102
40.59,-73.7,9.941638186187404
40.59,-73.6,9.237307018980344
40.6,-74.2,5.34731627443526
40.6,-74.1,5.437655131730357
40.6,-74.0,5.812332883727812
40.6,-73.9,8.436149362302213
40.6,-73.8,7.4357826708967805
40.6,-73.7,6.4898333027229915
40.6,-73.6,6.853778861917503
40.6,-73.5,10.894362906304085
40.61,-74.2,9.272189939949362
40.61,-74.1,6.0929119697389815
40.61,-74.0,5.360823951966001
40.61,-73.9,6.832051654698609
40.61,-73.8,6.96468993038645
40.61,-73.7,8.016142450873563
40.61,-73.6,13.184647690787916
40.61,-73.5,0.0
40.61,-73.4,0.0
40.62,-74.2,7.498277956375001
40.62,-74.1,5.488641317971242
40.62,-74.0,4.88628807562306
40.62,-73.9,4.95032348070375
40.62,-73.8,4.5484667074305944
40.62,-73.7,7.488639542131367
40.62,-73.6,13.931747379112405
40.62,-73.4,31.010920080871717
40.63,-74.2,6.816797463180958
40.63,-74.1,3.751299127737583
40.63,-74.0,4.859506842660263
40.63,-73.9,6.632398923510595
40.63,-73.8,4.974557622144564
40.63,-73.7,6.749419214641222
40.63,-73.6,4.552035289626508
40.63,-73.4,3.8286631385023173
40.63,-73.3,11.597264313627605
40.63,-73.2,3.713768881400334
40.64,-74.2,6.617695615264672
40.64,-74.1,5.784492171454067
40.64,-74.0,4.582954155299855
40.64,-73.9,5.249575727258384
40.64,-73.8,11.436281612248047
40.64,-73.7,7.81572223186197
40.64,-73.6,7.8978354411883105
40.64,-73.5,12.342762823311617
40.64,-73.4,0.0
40.64,-73.3,13.979731186092517
40.64,-73.2,4.2005082898798864
40.65,-74.1,5.665234621591413
40.65,-74.0,15.951635895043472
40.65,-73.9,6.16168666528273
40.65,-73.8,14.706249402622808
40.65,-73.7,15.468095621652076
40.65,-73.6,8.025933067382535
40.65,-73.5,13.296431111793856
40.65,-73.4,16.190307244537404
